Airport
ISFJORD airport
JAN MAYEN airport
JARLSBERG airport
KAUTOKEINO airport
KRISTIANSUND/KVERNBERGET airport
KJELLER airport
GOL/KLANTEN airport
KIRKENES/HOYBUKTMOEN airport
FARSUND/LISTA airport
LEKNES airport
LUNDE airport
MEHAMN airport
MOLDE/ARO airport
MOSJOEN/KJAERSTAD airport
LAKSELV/BANAK airport
NARVIK/FRAMNES airport
NAMSOS airport
NOTODDEN/TUVEN airport
OSEBERG A airport
ORLAND airport
OPPDAL/FAGERHAUG airport
ORSTA-VOLDA/HOVDEN airport
AASEGARDEN airport
TANA BRU (TANA BRIDGE) airport
"HAMMERFEST, FUGLENES airport"
HATTFJELLDAL airport
REGIONSYKEHUSET TC airport
MO I RANA/ROSSVOLL airport
ROGNAN airport
RINGEBU/FRYA airport
RAKKESTAD airport
RORVIK/RYUM airport
ROROS airport
ROST airport
REINSVOLL airport
MOSS/RYGGE airport
SVEA airport
SVALBARD/LONGYEAR airport
SANDANE/ANDA airport
SOGNDAL/HAUKASEN airport
SVOLVAER/HELLE airport
STOKMARKNES/SKAGEN airport
SLEIPNER A airport
SKIEN/GEITERYGGEN airport
STORD/SORSTOKKEN airport
SORKJOSEN airport
VARDO/SVARTNES airport
SANDNESSJOEN/STOKKA airport
TROMSO/LANGNES airport
SANDEFJORD/TORP airport
TRYSIL/SAETERASEN airport
TYNSET airport
KONGSVINGER airport
KRISTIN airport
OS/VAKSINEN airport
RAKKESTAD/RYGGE airport
OST ADER/GULLKNALL airport
TRONDHEIM/VAERNES airport
VADSO airport
VALLE/ARAKSOYENE airport
VALHALL A airport
VAEROY airport
GUDRUN airport
ELDFISK airport
VALLHALL PH airport
YME airport
EKOFISK A airport
ALBUSKJELL F airport
SOGN OG FJORDANE airport
MANDAL airport
ROGALAND/ORRE airport
HORDALAND airport
STAVANGER/SOLA airport
Unknown airport - NORWAY
RARON airport
ZERMATT airport
BEX airport
LES EPLATURES airport
ECUVILLENS airport
GENEVA airport
SAANEN airport
LAUSANNE-LA BLECHERETTE airport
NEUCHATEL airport
REICHENBACH airport
SION airport
GRUYERES airport
YVERDON-LES-BAINS airport
GSTAAD-INN GRUND airport
COLLOMBEY-MURAZ airport
GAMPEL airport
DUBENDORF airport
MOLLIS airport
BUOCHS airport
LANGENTHAL airport
AMBRI airport
TRIENGEN airport
WANGEN-LACHEN airport
ZWEISIMMEN airport
LUGANO airport
BERN-BELP airport
BAD RAGAZ airport
BIRRFELD airport
GRENCHEN airport
ZURICH airport
SPECK-FEHRALTORF airport
LOCARNO airport
BALE-MULHOUSE airport
BIEL-KAPPELEN airport
ST. GALLEN-ALTENRHEIN airport
SAMEDAN airport
BUTTWIL airport
SITTERDORF airport
SOUTH MARSTON airport
ST KILDA airport
BELFAST/ALDERGROVE airport
BELFAST/CITY airport
LONDONDERRY/EGLINTON airport
BIRMINGHAM airport
COVENTRY airport
GLOUCESTERSHIRE airport
MANCHESTER airport
MANCHESTER WOODFORD airport
DONCASTER SHEFFIELD airport
NEWQUAY airport
LYNEHAM airport
CAMPBELTOWN airport
NORTH RONALDSAY airport
STRONSAY airport
LERWICK/TINGWALL airport
HAVERFORDWEST airport
CARDIFF airport
SWANSEA airport
BRISTOL airport
LIVERPOOL airport
LONDON LUTON airport
PLYMOUTH airport
SCILLY ISLES/ST MARYS airport
BOURNEMOUTH airport
SOUTHAMPTON airport
BEMBRIDGE airport
PENZANCE airport
NEWQUAY airport
CHICHESTER/GOODWOOD airport
ALDERNEY airport
GUERNSEY airport
JERSEY airport
SHOREHAM airport
BIGGIN HILL airport
LONDON GATWICK airport
REDHILL airport
LONDON/CITY airport
FARNBOROUGH airport
BLACKBUSHE airport
LONDON HEATHROW airport
SOUTHEND airport
LYDD airport
MANSTON airport
CARLISLE airport
RETFORD/GAMSTON airport
BLACKPOOL airport
HUMBERSIDE airport
LEEDS BRADFORD airport
WARTON airport
HAWARDEN airport
ISLE OF MAN airport
NEWCASTLE airport
DURHAM TEES VALLEY airport
EAST MIDLANDS airport
KIRKWALL airport
SUMBURGH airport
WICK airport
ABERDEEN/DYCE airport
INVERNESS airport
GLASGOW airport
EDINBURGH airport
ISLAY airport
PRESTWICK airport
BENBECULA airport
SCATSTA airport
DUNDEE airport
STORNOWAY airport
BARRA airport
TIREE airport
UNST airport
CAMBRIDGE airport
NORWICH airport
LONDON STANSTED airport
SHEFFIELD CITY airport
CRANFIELD airport
EXETER airport
BRISTOL FILTON airport
OLD WARDEN airport
OXFORD/KIDLINGTON airport
MILDENHALL airport
BRIZE NORTON airport
MIDDLE WALLOP airport
NORTHOLT airport
ALCONBURY airport
WADDINGTON airport
SARAJEVO airport
TUZLA airport
PODGORICA airport
TIVAT airport
OHRID airport
SKOPJE airport
BEOGRAD/NIKOLA TESLA airport
NIS airport
ANKARA/ESENBOGA airport
ADANA airport
ANTALYA airport
GAZIANTEP airport
KASTAMONU airport
KONYA airport
AMASYA/MERZIFON airport
SIVAS/NURI DEMIRAG airport
ZONGULDAK/CAYCUMA airport
MALATYA airport
KAYSERI airport
TOKAT airport
DENIZLI/CARDAK airport
KAPADOKYA airport
ISTANBUL/ATATURK airport
AYDIN/CILDIR airport
BALIKESIR/MERKEZ airport
CANAKKALE airport
IZMIR/ADNAN MENDERES airport
USAK airport
KOCAELI/CENGIZ TOPEL airport
BURSA/YENISEHIR airport
MUGLA/DALAMAN airport
TEKIRDAG/CORLU airport
ESKISEHIR/HASAN POLATKAN airport
ZAFER airport
ELAZIG airport
ORDU-GIRESUN airport
DIYARBAKIR airport
ERZINCAN airport
ERZURUM airport
KARS/HARAKANI airport
TRABZON airport
VAN/FERIT MELEN airport
BATMAN airport
MUS airport
SIIRT airport
SINOP airport
KAHRAMANMARAS airport
AGRI/AHMED-I HANI airport
ADIYAMAN airport
MARDIN airport
SANLIURFA/GAP airport
IGDIR airport
BINGOL airport
SIRNAK/SERAFETTIN ELCI airport
HAKKARI/YUKSEKOVA SELAHADDIN EYYUBI airport
HATAY airport
CUKUROVA airport
ISPARTA/S.DEMIREL airport
BALIKESIR/KOCA SEYIT airport
MUGLA/MILAS-BODRUM airport
GAZIPASA-ALANYA airport
SAMSUN/CARSAMBA airport
ISTANBUL/SABIHA GOKCEN airport
GOKCEADA airport
ISTANBUL/ISTANBUL HAVALIMANI airport
RIZE-ARTVIN
